Card Number,Storage,Card Name,Card Type,Collected,Acquire Type,Collected Date,Duplicate,RH Collected,RH Acquire Type,RH Collected Date,RH Duplicate
1,Binder,Venusaur ex,Double Rare,FALSE,,,,-,-,-,-
2,Binder,Ledyba,Common,FALSE,,,,TRUE,Packed,26/04/2025,
3,Binder,Ledian,Rare,FALSE,,,,FALSE,,,
4,Binder,Celebi,Uncommon,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
5,Binder,Lileep,Common,TRUE,Packed,26/04/2025,,FALSE,,,
6,Binder,Cradily,Rare,FALSE,,,,TRUE,Packed,26/04/2025,
7,Binder,Carnivine,Common,TRUE,Packed,26/04/2025,1,FALSE,,,
8,Binder,Mow Rotom,Common,FALSE,,,,FALSE,,,
9,Binder,Grubbin,Common,FALSE,,,,FALSE,,,
10,Binder,Gossifleur,Common,TRUE,Packed,26/04/2025,,FALSE,,,
11,Binder,Eldegoss,Uncommon,FALSE,,,,FALSE,,,
12,Binder,Applin,Common,FALSE,,,,FALSE,,,
13,Binder,Dipplin,Common,FALSE,,,,TRUE,Packed,26/04/2025,
14,Binder,Hydrapple ex,Double Rare,FALSE,,,,-,-,-,-
15,Binder,Nymble,Common,FALSE,,,,FALSE,,,
16,Binder,Lokix,Common,TRUE,Packed,26/04/2025,,FALSE,,,
17,Binder,Toedscool,Common,FALSE,,,,FALSE,,,
18,Binder,Toedscruel,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
19,Binder,Ponyta,Common,TRUE,Packed,26/04/2025,,FALSE,,,
20,Binder,Rapidash,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
21,Binder,Pansear,Common,TRUE,Packed,26/04/2025,,FALSE,,,
22,Binder,Reshiram,Uncommon,FALSE,,,,TRUE,Packed,26/04/2025,
23,Binder,Salandit,Common,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
24,Binder,Salazzle,Uncommon,FALSE,,,,FALSE,,,
25,Binder,Turtonator,Common,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
26,Binder,Scorbunny,Common,FALSE,,,,FALSE,,,
27,Binder,Raboot,Common,FALSE,,,,FALSE,,,
28,Binder,Cinderace ex,Double Rare,TRUE,Bought,03/05/2025,,-,-,-,-
29,Binder,Charcadet,Common,TRUE,Packed,26/04/2025,,FALSE,,,
30,Binder,Blastoise ex,Double Rare,FALSE,,,,-,-,-,-
31,Binder,Lapras,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
32,Binder,Lapras ex,Double Rare,TRUE,Packed,26/04/2025,,-,-,-,-
33,Binder,Marill,Common,TRUE,Packed,26/04/2025,,FALSE,,,
34,Binder,Azumarill,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
35,Binder,Finneon,Common,FALSE,,,,FALSE,,,
36,Binder,Lumineon,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
37,Binder,Tirtouga,Common,TRUE,Packed,26/04/2025,,FALSE,,,
38,Binder,Carracosta,Rare,TRUE,Packed,26/04/2025,,FALSE,,,
39,Binder,Froakie,Common,TRUE,Packed,26/04/2025,,FALSE,,,
40,Binder,Frogadier,Uncommon,FALSE,,,,TRUE,Packed,26/04/2025,
41,Binder,Greninja ex,Double Rare,FALSE,,,,-,-,-,-
42,Binder,Crabominable,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
43,Binder,Chewtle,Common,FALSE,,,,FALSE,,,
44,Binder,Drednaw,Rare,FALSE,,,,TRUE,Packed,26/04/2025,
45,Binder,Veluza,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
46,Binder,Electabuzz,Common,TRUE,Packed,26/04/2025,,FALSE,,,
47,Binder,Electivire,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
48,Binder,Chinchou,Common,TRUE,Packed,26/04/2025,,FALSE,,,
49,Binder,Lanturn,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
50,Binder,Joltik,Common,FALSE,,,,FALSE,,,
51,Binder,Galvantula ex,Double Rare,FALSE,,,,-,-,-,-
52,Binder,Charjabug,Common,TRUE,Packed,26/04/2025,1,FALSE,,,
53,Binder,Vikavolt,Uncommon,FALSE,,,,FALSE,,,
54,Binder,Togedemaru,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
55,Binder,Zeraora,Rare,FALSE,,,,TRUE,Packed,26/04/2025,
56,Binder,Pawmi,Common,TRUE,Packed,26/04/2025,,FALSE,,,
57,Binder,Slowpoke,Common,FALSE,,,,FALSE,,,
58,Binder,Slowking,Uncommon,FALSE,,,,FALSE,,,
59,Binder,Mewtwo,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
60,Binder,Drifloon,Common,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
61,Binder,Drifblim,Uncommon,FALSE,,,,FALSE,,,
62,Binder,Yamask,Common,TRUE,Packed,26/04/2025,,FALSE,,,
63,Binder,Comfey,Common,TRUE,Packed,26/04/2025,,FALSE,,,
64,Binder,Milcery,Common,TRUE,Packed,26/04/2025,,FALSE,,,
65,Binder,Alcremie,Rare,FALSE,,,,FALSE,,,
66,Binder,Fidough,Common,FALSE,,,,FALSE,,,
67,Binder,Dachsbun ex,Double Rare,FALSE,,,,-,-,-,-
68,Binder,Flittle,Common,TRUE,Packed,26/04/2025,,FALSE,,,
69,Binder,Espathra,Common,TRUE,Packed,26/04/2025,,FALSE,,,
70,Binder,Greavard,Common,FALSE,,,,FALSE,,,
71,Binder,Iron Boulder,Rare,FALSE,,,,FALSE,,,
72,Binder,Cubone,Common,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
73,Binder,Marowak,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
74,Binder,Rhyhorn,Common,TRUE,Packed,26/04/2025,,FALSE,,,
75,Binder,Rhydon,Common,FALSE,,,,FALSE,,,
76,Binder,Rhyperior,Rare,FALSE,,,,FALSE,,,
77,Binder,Meditite,Common,TRUE,Packed,26/04/2025,,FALSE,,,
78,Binder,Meditite,Common,FALSE,,,,FALSE,,,
79,Binder,Medicham,Common,TRUE,Packed,26/04/2025,,FALSE,,,
80,Binder,Medicham ex,Double Rare,TRUE,Packed,26/04/2025,,-,-,-,-
81,Binder,Riolu,Common,TRUE,Packed,26/04/2025,,FALSE,,,
82,Binder,Lucario ex,Double Rare,FALSE,,,,-,-,-,-
83,Binder,Mienfoo,Common,FALSE,,,,FALSE,,,
84,Binder,Mienshao,Uncommon,TRUE,Packed,26/04/2025,,TRUE,Packed,26/04/2025,
85,Binder,Pancham,Common,TRUE,Packed,26/04/2025,,FALSE,,,
86,Binder,Diancie,Uncommon,TRUE,Packed,26/04/2025,,FALSE,,,
87,Binder,Crabrawler,Common,FALSE,,,,FALSE,,,
88,Binder,Falinks,Common,FALSE,,,,FALSE,,,
89,Binder,Garganacl ex,Double Rare,FALSE,,,,-,-,-,-
90,Binder,Koraidon,Uncommon,TRUE,Packed,26/04/2025,1,FALSE,,,
